id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
426,142,2018,2.9,36.0,4.5,5.4,58.1,54.0,44.5,4.8,247.0,0.8,42.7,67.3,5.4,0.1,6.5,101.7,110.9,31.5,34.3,6.2,7.9,3.4,39.6
427,143,2005,1.0,27.9,1.7,2.9,65.0,60.9,30.9,7.0,83.0,0.2,236.5,57.9,1.8,0.4,,101.2,101.0,44.7,46.1,,,1.4,
428,143,2010,0.7,28.9,1.3,2.6,66.3,62.2,30.0,7.5,76.4,0.2,859.4,52.2,1.9,0.5,,98.3,99.1,50.7,48.3,12.5,9.1,1.6,
429,143,2018,0.9,30.6,1.5,2.3,68.3,63.7,26.3,9.7,74.7,0.1,1277.8,45.0,4.9,0.6,2.2,109.9,113.3,63.4,57.7,19.0,13.0,2.3,10.2
430,144,2005,1.4,36.6,3.8,3.8,55.9,51.7,39.8,5.0,106.3,5.2,9.1,59.4,12.4,0.3,6.1,108.2,109.5,66.9,59.9,6.3,7.4,17.5,25.0
431,144,2010,1.3,41.6,3.9,3.6,56.6,53.3,38.4,5.2,102.4,4.7,8.8,46.6,9.5,0.4,8.3,105.8,109.2,69.0,60.1,10.4,8.2,14.4,26.9
432,144,2018,2.2,50.0,4.6,3.6,64.3,59.1,36.5,5.6,95.1,3.8,3.9,36.4,8.9,,,109.1,113.5,,,,,17.1,46.2
433,145,2005,0.1,100.0,0.2,,64.0,57.0,38.1,2.5,2.3,22.3,,,12.6,1.0,,128.5,122.3,50.3,44.4,,,,0.0
434,145,2010,-0.2,100.0,-0.2,,58.2,52.5,,,2.1,21.1,,,10.7,1.0,,96.0,90.1,68.9,57.6,,,,0.0
435,145,2018,2.3,100.0,2.3,3.9,64.8,57.8,39.5,4.0,3.7,32.7,0.8,18.0,4.8,1.4,,108.5,105.7,79.0,76.5,,,0.0,10.5
436,146,2005,1.5,15.1,4.0,3.6,65.2,62.9,39.7,6.7,679.5,2.6,538.6,52.9,4.5,0.2,3.4,110.2,120.4,43.5,53.5,5.6,10.3,3.4,5.9
437,146,2010,1.1,16.8,3.1,3.0,68.1,65.5,37.0,7.4,578.7,2.1,891.3,41.3,5.0,,3.6,146.9,137.6,57.4,60.3,11.0,17.9,3.0,33.2
438,146,2018,1.2,19.7,3.2,2.3,70.4,67.4,30.2,8.8,502.7,1.7,24.4,32.8,6.1,0.6,3.7,138.4,130.1,75.0,67.6,12.2,11.4,2.2,3.6
439,147,2005,0.5,82.6,2.0,1.7,81.0,76.2,18.3,19.3,1736.1,10.6,139.7,4.9,9.3,,5.2,105.5,107.9,117.2,119.5,61.1,56.4,1.1,36.7
440,147,2010,0.4,87.1,1.4,1.7,82.2,78.0,17.5,22.0,1832.5,11.0,90.1,4.1,10.4,,5.6,108.1,108.5,121.2,122.9,67.3,60.3,0.9,42.0
441,147,2018,0.3,91.5,1.0,1.7,83.1,79.4,16.2,25.5,2056.5,12.1,114.1,3.5,10.7,3.5,5.5,103.3,103.3,133.8,131.6,85.3,75.6,0.6,36.0
442,148,2005,1.8,64.0,2.4,2.3,77.2,71.3,27.5,10.3,55.4,23.8,,17.4,,,,,,,,,,,
443,148,2010,1.5,67.1,2.5,2.3,78.3,72.4,24.1,13.1,61.2,24.4,,15.1,,,,,,,,,,3.2,
444,148,2018,1.4,70.7,2.1,2.2,79.3,73.7,22.3,14.5,66.0,23.9,,13.0,,,,,,,,,,,
445,149,2005,1.4,86.3,1.5,1.9,81.3,76.8,21.5,16.4,840.0,20.3,5.7,5.4,8.3,2.1,6.3,99.3,100.1,123.6,117.1,,,1.5,28.3
