id,country_id,year,GDP,GDP growth,GDP per capita,Agriculture,Industry,Services,Agriculture employment,Industry employment,Services employment,Unemployment rate,Labour participation (females),Labour participation (males),CPI,Agricultural index,Industrial index,Exports,Imports,Trade balance,Current account
637,211,2005,32272,4.0,3194.0,10.0,28.8,61.3,20.8,42.2,37.0,12.9,23.9,68.6,82,102,100,10494,13174,- 2 681,-299
638,211,2010,44051,3.0,4140.0,8.1,31.1,60.8,17.7,44.9,37.3,13.0,24.5,69.7,100,106,115,16427,22215,- 5 789,- 2 104
639,211,2018,41704,1.0,3657.0,9.8,26.0,64.2,13.5,42.7,43.8,15.1,24.1,70.3,138,117,112,14532,20715,- 6 183,- 3 694
640,212,2005,501423,9.0,7384.0,10.6,29.0,60.4,25.7,26.3,48.0,10.6,23.3,70.1,66,101,100,73476,116774,- 43 298,- 20 980
641,212,2010,771877,8.5,10672.0,10.3,28.0,61.8,23.7,26.2,50.1,10.7,27.0,69.6,100,110,116,113883,185544,- 71 661,- 44 616
642,212,2018,863712,3.2,10863.0,7.0,32.0,61.0,18.8,26.9,54.3,11.1,32.2,71.7,175,129,140,157055,233792,- 76 737,- 47 378
643,213,2005,14182,13.0,2983.0,18.8,37.6,43.6,19.1,36.6,44.2,3.8,52.5,75.2,,104,,3009,2217,792,
644,213,2010,22583,9.2,4439.0,14.5,48.4,37.0,12.6,45.1,42.3,4.0,52.9,76.2,,98,,3335,2400,935,
645,213,2018,36180,6.2,6389.0,13.4,51.0,35.6,7.9,44.8,47.2,3.3,53.2,78.2,,102,,3813,2679,1135,
646,214,2005,579,14.4,21879.0,1.2,19.7,79.1,1.4,16.8,70.9,8.0,,,,,,15,304,-289,
647,214,2010,687,1.0,22159.0,0.6,12.4,86.9,1.2,23.1,74.0,8.3,,,,,,16,302,-286,
648,214,2018,918,4.4,26291.0,0.6,10.5,88.9,,,,,,,,,,4,370,-366,253
649,215,2005,22,-4.1,2162.0,22.2,8.3,69.4,,,,6.5,47.9,69.6,,100,,0,13,-13,-4
